背番号,Unnamed: 1,HG,名前,Pos.,出生地※1,生年月日,身長/体重,出場試合数※2,ゴール数※3
1,,,チョン　ソンリョン,GK,大韓民国,1985/1/4,191/91,7,0
21,,HG,安藤　駿介,GK,東京都,1990/8/10,185/81,0,0
27,,,丹野　研太,GK,宮城県,1986/8/30,186/80,3,0
40,,,イ　キョンテ,GK,大韓民国,1995/3/2,191/81,0,0
2,,HG,登里　享平,DF,大阪府,1990/11/13,168/68,2,0
4,,,ジェジエウ,DF,ブラジル,1994/3/5,186/84,8,0
5,,,谷口　彰悟,DF,熊本県,1991/7/15,183/75,9,0
7,,,車屋　紳太郎,DF,熊本県,1992/4/5,178/75,7,0
13,,,山根　視来,DF,神奈川県,1993/12/22,178/72,10,0
15,,,イサカ　ゼイン,DF,東京都,1997/5/29,174/78,0,0
26,,,神谷　凱士,DF,愛知県,1997/6/16,183/76,0,0
30,,,田邉　秀斗,DF,京都府,2002/5/5,180/71,0,0
3,,,塚川　孝輝,MF,広島県,1994/7/16,184/78,6,0
6,,,ジョアン　シミッチ,MF,ブラジル,1993/5/19,183/80,10,0
8,,HG,脇坂　泰斗,MF,神奈川県,1995/6/11,172/68,10,1
10,,HG,大島　僚太,MF,静岡県,1993/1/23,168/64,0,0
16,,,長谷川　竜也,MF,静岡県,1994/3/7,164/60,9,0
17,,,小塚　和季,MF,新潟県,1994/8/2,173/68,0,0
18,,HG,三笘　薫,MF,神奈川県,1997/5/20,178/71,10,4
22,,,橘田　健人,MF,鹿児島県,1998/5/29,168/65,9,0
25,,HG,田中　碧,MF,神奈川県,1998/9/10,180/74,10,0
28,,,山村　和也,MF,長崎県,1989/12/2,186/80,2,0
31,,,松井　蓮之,MF,福島県,2000/2/27,178/73,0,0
41,,,家長　昭博,MF,兵庫県,1986/6/13,173/70,9,5
9,,,レアンドロ　ダミアン,FW,ブラジル,1989/7/22,188/90,9,7
11,,,小林　悠,FW,東京都,1987/9/23,177/72,10,4
19,,,遠野　大弥,FW,静岡県,1999/3/14,165/66,7,2
20,,,知念　慶,FW,沖縄県,1995/3/17,177/73,4,0
24,,HG,宮城　天,FW,神奈川県,2001/6/2,176/70,0,0
47,,,旗手　怜央,FW,三重県,1997/11/21,171/70,8,2
